Date,Game,Team,Side,Market,ML,Book,Model_Prob,Market_Prob,Edge_Pct,Model_Line,Market_Line,SP_Score,LU_Score,Park_Factor,Ump_K,Result,F5_Score,Taken,logged_at,Model_Prob_Cal,Edge_Cal,Closing_ML,Closing_Line,CLV_Pct
04/18/2026,St. Louis Cardinals @ Houston Astros,Under,Under,F5 Total,-104.0,fanduel,57.3,51.0,6.3,4.41,4.8,54.8,50.0,1.0,0.0,LOSS,4-1,False,unknown,,,,,
04/18/2026,Tampa Bay Rays @ Pittsburgh Pirates,Pittsburgh Pirates,Home,F5 ML,-180.0,betmgm,67.3,64.3,3.0,,,62.4,50.0,0.96,0.0,LOSS,5-4,False,unknown,,,,,
04/18/2026,Tampa Bay Rays @ Pittsburgh Pirates,Pittsburgh Pirates,Home,F5 Spread,-115.0,betmgm,72.8,53.5,19.3,-0.5,0.5,55.5,50.0,0.96,0.0,LOSS,5-4,False,unknown,,,,,
04/18/2026,Texas Rangers @ Seattle Mariners,Seattle Mariners,Home,F5 ML,-135.0,betmgm,55.7,57.4,-1.8,,,52.2,50.0,0.99,0.0,WIN,0-3,False,unknown,,,,,
04/18/2026,Texas Rangers @ Seattle Mariners,Seattle Mariners,Home,F5 Spread,110.0,fanduel,63.5,47.6,15.8,-0.5,0.5,51.1,50.0,0.99,0.0,WIN,0-3,False,unknown,,,,,
04/18/2026,Texas Rangers @ Seattle Mariners,Over,Over,F5 Total,-105.0,williamhill_us,60.4,51.2,9.2,4.44,3.8,51.1,50.0,0.99,0.0,LOSS,0-3,False,unknown,,,,,
04/18/2026,Toronto Blue Jays @ Arizona Diamondbacks,Arizona Diamondbacks,Home,F5 Spread,105.0,williamhill_us,57.8,48.8,9.0,-0.5,0.5,56.0,50.0,1.0,0.0,WIN,1-2,False,unknown,,,,,
04/18/2026,Toronto Blue Jays @ Arizona Diamondbacks,Under,Under,F5 Total,100.0,fanduel,57.6,50.0,7.6,4.39,4.8,56.0,50.0,1.0,0.0,WIN,1-2,False,unknown,,,,,
04/19/2026,Atlanta Braves @ Philadelphia Phillies,Atlanta Braves,Atlanta Braves Over 1.5,F5 Team Total,-140.0,DraftKings,63.1,58.3,4.7,2.1,1.5,47.7,34.8,0.99,0.046,WIN,4-2,False,unknown,,,,,
04/19/2026,Baltimore Orioles @ Cleveland Guardians,Baltimore Orioles/Cleveland Guardians,Over 3.5,F5 Total,-115.0,BetMGM,66.8,53.5,13.3,4.5,3.5,50.0,50.0,1.0,0.0,WIN,4-6,False,unknown,,,,,
04/19/2026,Baltimore Orioles @ Cleveland Guardians,Baltimore Orioles,Baltimore Orioles Over 1.5,F5 Team Total,-110.0,DraftKings,66.1,52.4,13.8,2.25,1.5,50.0,,1.0,0.0,WIN,4-6,False,unknown,,,,,
04/19/2026,Baltimore Orioles @ Cleveland Guardians,Cleveland Guardians,Cleveland Guardians Over 1.5,F5 Team Total,-120.0,DraftKings,66.1,54.5,11.6,2.25,1.5,50.0,,1.0,0.0,WIN,4-6,False,unknown,,,,,
04/19/2026,Chicago White Sox @ Athletics,Chicago White Sox/Athletics,Under 4.8,F5 Total,108.0,FanDuel,64.6,48.1,16.5,3.94,4.8,63.1,28.25,1.0,0.02,LOSS,7-1,False,unknown,,,,,
04/19/2026,Chicago White Sox @ Athletics,Athletics,Athletics Under 2.5,F5 Team Total,-115.0,TheScore,64.3,53.5,10.8,1.84,2.5,61.7,21.9,1.0,0.02,WIN,7-1,False,unknown,,,,,
04/19/2026,Cincinnati Reds @ Minnesota Twins,Minnesota Twins,Home -0.5,F5 Spread,110.0,FanDuel,62.9,47.6,15.3,-0.36,-0.5,50.0,41.7,0.98,-0.006,WIN,1-3,False,unknown,,,,,
04/19/2026,Cincinnati Reds @ Minnesota Twins,Cincinnati Reds/Minnesota Twins,Under 4.5,F5 Total,-125.0,BetMGM,62.6,55.6,7.1,3.76,4.5,50.0,32.0,0.98,-0.006,WIN,1-3,False,unknown,,,,,
